art_vr_reposicion,predevolucion,estado,art_nombre_Andamios,art_nombre_Equipo_Electronico,art_nombre_Equipo_multi,art_nombre_Formaleta,art_nombre_Herramienta,art_nombre_Tableros_Modulares,cco_nombre_20 DE JULIO,cco_nombre_AMATISTA LIVING,cco_nombre_BODEGA METALMEGA,cco_nombre_DEPOSITO JAZA,cco_nombre_EBENEZER CONSTRUCCIONES SAS,cco_nombre_FRANCI ELENA VALENCIA FERNANDEZ,cco_nombre_FSCR,cco_nombre_HCH COLOMBIA
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05525974025974026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.016883116883116882,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.026493506493506493,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.009857142857142858,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.005194805194805195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.948051948051948,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.03857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.023376623376623377,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.04155844155844156,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.03116883116883117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0023376623376623377,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.011688311688311689,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.012467532467532468,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0212987012987013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.23376623376623376,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.1038961038961039,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.032467532467532464,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.01948051948051948,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.033766233766233764,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.014285714285714285,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.7142857142857143,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.01948051948051948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.01883116883116883,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.014285714285714285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.003246753246753247,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.003896103896103896,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0053896103896103895,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.016363636363636365,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.02012987012987013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06493506493506493,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05194805194805195,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0025974025974025974,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.007792207792207792,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.015584415584415584,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.00909090909090909,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.025974025974025976,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5194805194805194,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.01948051948051948,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.02857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05525974025974026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.016883116883116882,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.026493506493506493,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.009857142857142858,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.005194805194805195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.948051948051948,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.03857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.023376623376623377,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.04155844155844156,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.03116883116883117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0023376623376623377,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.011688311688311689,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.012467532467532468,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0212987012987013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.23376623376623376,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.003896103896103896,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.00025974025974025974,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.01948051948051948,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.01038961038961039,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.00025974025974025974,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.01948051948051948,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.01038961038961039,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.01948051948051948,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.033766233766233764,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.014285714285714285,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.7142857142857143,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.04155844155844156,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.01948051948051948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.033766233766233764,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.014285714285714285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0053896103896103895,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.016363636363636365,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.02012987012987013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06493506493506493,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05194805194805195,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0025974025974025974,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.007792207792207792,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.015584415584415584,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.00909090909090909,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.025974025974025976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5194805194805194,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.01948051948051948,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.02857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05525974025974026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.016883116883116882,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.026493506493506493,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.009857142857142858,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.005194805194805195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.948051948051948,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.03857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.023376623376623377,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.04155844155844156,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.03116883116883117,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0023376623376623377,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.011688311688311689,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.012467532467532468,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0212987012987013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.23376623376623376,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.003896103896103896,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.0053896103896103895,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.016363636363636365,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.02012987012987013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06493506493506493,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05194805194805195,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0025974025974025974,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.007792207792207792,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.015584415584415584,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.00909090909090909,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.025974025974025976,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5194805194805194,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.01948051948051948,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.02857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05525974025974026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.016883116883116882,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.026493506493506493,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.009857142857142858,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.005194805194805195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.948051948051948,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.03857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.023376623376623377,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.04155844155844156,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.03116883116883117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0023376623376623377,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.011688311688311689,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.012467532467532468,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0212987012987013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.23376623376623376,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.016883116883116882,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.01948051948051948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.033766233766233764,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.014285714285714285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.38961038961038963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.23376623376623376,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.0053896103896103895,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.016363636363636365,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.02012987012987013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06493506493506493,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05194805194805195,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0025974025974025974,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.007792207792207792,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.015584415584415584,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.00909090909090909,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.025974025974025976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5194805194805194,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.01948051948051948,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.02857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05525974025974026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.016883116883116882,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.026493506493506493,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.009857142857142858,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.005194805194805195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.948051948051948,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.03857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.023376623376623377,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.04155844155844156,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.03116883116883117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0023376623376623377,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.011688311688311689,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.012467532467532468,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0212987012987013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.23376623376623376,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.00909090909090909,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.00025974025974025974,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.01948051948051948,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.016883116883116882,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.005194805194805195,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.00025974025974025974,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.011688311688311689,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.0212987012987013,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.0053896103896103895,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.016363636363636365,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.02012987012987013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06493506493506493,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05194805194805195,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0025974025974025974,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.007792207792207792,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.015584415584415584,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.00909090909090909,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.025974025974025976,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5194805194805194,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.01948051948051948,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.02857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.36363636363636365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05525974025974026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.05844155844155844,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0005844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.016883116883116882,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.026493506493506493,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.009857142857142858,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.005194805194805195,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.948051948051948,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.03857142857142857,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.023376623376623377,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.04155844155844156,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.03116883116883117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0023376623376623377,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.00025974025974025974,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.011688311688311689,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.012467532467532468,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0212987012987013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.23376623376623376,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.00025974025974025974,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.01948051948051948,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.01038961038961039,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.00025974025974025974,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.01948051948051948,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.01038961038961039,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.05844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.015584415584415584,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.003896103896103896,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.025974025974025976,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.00025974025974025974,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.05844155844155844,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.0005844155844155844,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.01948051948051948,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.012727272727272728,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.023376623376623377,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.04155844155844156,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.003246753246753247,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.003896103896103896,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.01038961038961039,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.38961038961038963,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.03116883116883117,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.01948051948051948,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.033766233766233764,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.014285714285714285,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.01948051948051948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.033766233766233764,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.014285714285714285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.05844155844155844,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.015584415584415584,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.003896103896103896,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.025974025974025976,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.00025974025974025974,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.05844155844155844,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.0005844155844155844,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.01948051948051948,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.012727272727272728,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.023376623376623377,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.04155844155844156,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.003246753246753247,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.003896103896103896,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.01038961038961039,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0053896103896103895,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.016363636363636365,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.02012987012987013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
